sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2301-200720,3863,Reverse Mortgage,335625.0,0.0,104.0,28.28750000000000,1.13750000000000,0.0,80.0
2301-200721,3863,Reverse Mortgage,86560.0,1.0,118.0,19.64646464646460,0.67676767676768,0.0,99.0
17-501461,3860,Refinance,108700.0,1.0,73.0,20.74137931034480,0.75862068965517,0.0,58.0
17-501462,3860,Refinance,135327.0,1.0,65.0,14.77011494252870,0.39080459770115,0.0,87.0
2301-200722,3863,Reverse Mortgage,276150.0,1.0,73.0,74.11764705882350,1.70588235294118,0.0,17.0
2301-200723,3860,Reverse Mortgage,60227.0,1.0,81.0,13.73195876288660,0.38144329896907,0.0,97.0
2301-200724,3860,Reverse Mortgage,173595.0,3.0,77.0,18.40000000000000,0.50769230769231,0.0,65.0
17-501463,3860,Refinance,124500.0,6.0,62.0,19.02222222222220,0.55555555555556,1.0,45.0
2301-200725,3863,Reverse Mortgage,89700.0,2.0,85.0,51.75000000000000,1.57142857142857,0.0,28.0
17-501464,3860,TSG,109561.2,5.0,22.0,7.51807228915663,0.10843373493976,0.0,83.0
17-501466,3863,Refinance,208500.0,8.0,55.0,19.22222222222220,0.37777777777778,1.0,45.0
2301-200726,3863,Reverse Mortgage,340000.0,2.0,48.0,10.66666666666670,0.17777777777778,1.0,45.0
17-501467,3860,TSG,211778.3,6.0,22.0,6.51807228915663,0.09638554216868,0.0,83.0
17-501468,3860,TSG,247122.4,1.0,26.0,7.26506024096386,0.14457831325301,0.0,83.0
17-501469,3860,TSG,261327.2,1.0,33.0,7.22891566265060,0.15662650602410,0.0,83.0
17-501470,3863,TSG,531047.5,2.0,17.0,5.24096385542169,0.06024096385542,0.0,83.0
17-501471,3860,TSG,670020.4,1.0,28.0,7.25301204819277,0.13253012048193,0.0,83.0
17-501472,3863,TSG,422321.8,1.0,13.0,4.46987951807229,0.03614457831325,0.0,83.0
17-501473,3863,TSG,484037.7,2.0,21.0,5.77108433734940,0.07228915662651,0.0,83.0
17-501474,3863,TSG,607890.8,4.0,13.0,4.65060240963855,0.03614457831325,0.0,83.0
17-501475,3863,TSG,491227.8,3.0,13.0,4.68674698795181,0.04819277108434,0.0,83.0
